ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
Left-Ventral-DC,Left Ventral DC,L. Ventral DC,,,0.241450086736248,2.764673135181028e-11,,,0.239447897093928,1.402874782968088e-06,-0.100549028338231,2.439625585911733e-08
Cerebellar-Vermal-Lobules-I-V,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lob. I-V,-0.0517731453181167,0.0052926372673637,0.832857907509989,1.9373020645527083e-104,-0.295637556826882,0.0274148518846862,0.152310135891617,0.0104851409554901,,
Cerebellar-Vermal-Lobules-VI-VII,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lob. VI-VII,0.0430747285404692,0.0290791496073481,0.707858641961028,4.2251136492475534e-78,-0.392822306723162,0.0024515609342415,0.284069358475871,4.783506367624207e-06,,
Cerebellar-Vermal-Lobules-VIII-X,Cerebellar Vermal Lobules VIII-X,Cerebellar Vermal Lob. VIII-X,0.200312564006521,2.1829068571929976e-33,0.821078356026508,9.543784473866205e-131,-0.479493829268696,2.088339690018569e-05,0.453947226921683,5.331810372429152e-19,,
Left-Basal-Forebrain,Left Basal Forebrain,L. Basal Forebrain,-0.0355257493998458,0.0440348334756757,0.319709615592189,1.2704884186350618e-13,0.83936571472489,5.225427451292217e-08,0.143111076336504,0.010038166981706,-0.061651847107406,0.009978385895398
Right-Basal-Forebrain,Right Basal Forebrain,R. Basal Forebrain,-0.0669951320293711,6.087419286046859e-05,0.245278731486707,4.4353219822941484e-08,0.67321155014918,1.4571398007460802e-05,0.274049185619788,1.1204681742405285e-07,,
Right-ACgG--anterior-cingulate-gyrus,Right Anterior Cingulate Gyrus,R. Ant. Cingulate Gyrus,0.312388437923185,6.27774265058261e-81,0.279481963831031,5.376766319565311e-15,,,0.100274346997237,0.0451311815924728,0.065391447676753,0.0003605961134969
Left-ACgG--anterior-cingulate-gyrus,Left Anterior Cingulate Gyrus,L. Ant. Cingulate Gyrus,0.323886657507138,1.4789915271479064e-85,0.223836845885234,2.727053570143589e-09,,,0.167844161914254,0.0004869354495641,0.0675280207412131,0.0004978709584159
Right-AIns--anterior-insula,Right Anterior Insula,R. Ant. Insula,0.0823283663613363,4.031015981433532e-06,1.34508031048391,4.3653655162691513e-246,-0.32075580500603,0.0174074942310354,,,,
Left-AIns--anterior-insula,Left Anterior Insula,L. Ant. Insula,,,1.3095379200395,6.111563320453281e-216,,,,,,
Right-AOrG--anterior-orbital-gyrus,Right Anterior Orbital Gyrus,R. Ant. Orbital Gyrus,0.178646389306808,9.179158119860392e-27,0.578711038108605,1.5760746762888631e-43,1.06468131737951,9.91359816517156e-13,,,0.099982031076537,5.395952566461045e-06
Left-AOrG--anterior-orbital-gyrus,Left Anterior Orbital Gyrus,L. Ant. Orbital Gyrus,0.157083712630131,3.154870138591543e-20,0.565684867701875,2.306095161703725e-41,0.995376782217408,3.5173246925338335e-11,,,0.123384854276816,1.797094570796244e-08
Right-AnG---angular-gyrus,Right Angular Gyrus,R. Angular Gyrus,0.38316632271718,4.9570940992796894e-98,0.346904553007139,1.908306485207317e-42,-0.279748299691612,0.0024515609342415,0.19451661346391,0.000284683721493,0.0742284148421462,7.658179440405621e-09
Left-AnG---angular-gyrus,Left Angular Gyrus,L. Angular Gyrus,0.350278732015317,1.5418705672367586e-79,0.445780066241584,1.815739088918968e-67,-0.459727536219708,4.0935628803348585e-07,0.28429673238849,2.201833008666167e-07,0.0790526803760822,1.068267799515364e-09
Right-Calc--calcarine-cortex,Right Calcarine Cortex,R. Calcarine Cortex,0.2952878769045,4.510358865802584e-70,0.953358173085094,5.408699043350433e-215,-0.199030661809417,0.0674092593109872,0.306417366927598,8.85220933367248e-10,0.105622743307338,9.282619504618518e-13
