id,ROI,ROI_rename
176,Right-PoG---postcentral-gyrus,Right Postcentral Gyrus
177,Left-PoG---postcentral-gyrus,Left Postcentral Gyrus
178,Right-POrG--posterior-orbital-gyrus,Right Posterior Orbital Gyrus
179,Left-POrG--posterior-orbital-gyrus,Left Posterior Orbital Gyrus
180,Right-PP----planum-polare,Right Planum Polare
181,Left-PP----planum-polare,Left Planum Polare
182,Right-PrG---precentral-gyrus,Right Precentral Gyrus
183,Left-PrG---precentral-gyrus,Left Precentral Gyrus
184,Right-PT----planum-temporale,Right Planum Temporale
185,Left-PT----planum-temporale,Left Planum Temporale
186,Right-SCA---subcallosal-area,Right Subcallosal Area
187,Left-SCA---subcallosal-area,Left Subcallosal Area
190,Right-SFG---superior-frontal-gyrus,Right Superior Frontal Gyrus
191,Left-SFG---superior-frontal-gyrus,Left Superior Frontal Gyrus
192,Right-SMC---supplementary-motor-cortex,Right Supplementary Motor Cortex
193,Left-SMC---supplementary-motor-cortex,Left Supplementary Motor Cortex
194,Right-SMG---supramarginal-gyrus,Right Supramarginal Gyrus
195,Left-SMG---supramarginal-gyrus,Left Supramarginal Gyrus
196,Right-SOG---superior-occipital-gyrus,Right Superior Occipital Gyrus
197,Left-SOG---superior-occipital-gyrus,Left Superior Occipital Gyrus
198,Right-SPL---superior-parietal-lobule,Right Superior Parietal Lobule
199,Left-SPL---superior-parietal-lobule,Left Superior Parietal Lobule
200,Right-STG---superior-temporal-gyrus,Right Superior Temporal Gyrus
201,Left-STG---superior-temporal-gyrus,Left Superior Temporal Gyrus
202,Right-TMP---temporal-pole,Right Temporal Pole
203,Left-TMP---temporal-pole,Left Temporal Pole
204,Right-TrIFG-triangular-part-of-the-IFG,Right Triangular Part of the Inferior Frontal Gyrus
205,Left-TrIFG-triangular-part-of-the-IFG,Left Triangular Part of the Inferior Frontal Gyrus
206,Right-TTG---transverse-temporal-gyrus,Right Transverse Temporal Gyrus
207,Left-TTG---transverse-temporal-gyrus,Left Transverse Temporal Gyrus
