id,ROI,ROI_rename
1,SUPERIOR_PARIETAL_LOBULE_left,Left Superior Parietal Lobule
2,CINGULATE_GYRUS_left,Left Cingulate Gyrus
3,SUPERIOR_FRONTAL_GYRUS_left,Left Superior Frontal Gyrus
4,MIDDLE_FRONTAL_GYRUS_left,Left Middle Frontal Gyrus
5,INFERIOR_FRONTAL_GYRUS_left,Left Inferior Frontal Gyrus
6,PRECENTRAL_GYRUS_left,Left Precentral Gyrus
7,POSTCENTRAL_GYRUS_left,Left Postcentral Gyrus
8,ANGULAR_GYRUS_left,Left Angular Gyrus
9,PRE-CUNEUS_left,Left Precuneus
10,CUNEUS_left,Left Cuneus
11,LINGUAL_GYRUS_left,Left Lingual Gyrus
12,FUSIFORM_GYRUS_left,Left Fusiform Gyrus
13,PARAHIPPOCAMPAL_GYRUS_left,Left Parahippocampal Gyrus
14,SUPERIOR_OCCIPITAL_GYRUS_left,Left Superior Occipital Gyrus
15,INFERIOR_OCCIPITAL_GYRUS,Inferior Occipital Gyrus
16,MIDDLE_OCCIPITAL_GYRUS,Middle Occipital Gyrus
17,ENTORHINAL_AREA,Entorhinal Area
18,SUPERIOR_TEMPORAL_GYRUS,Superior Temporal Gyrus
19,INFERIOR_TEMPORAL_GYRUS,Inferior Temporal Gyrus
20,MIDDLE_TEMPORAL_GYRUS,Middle Temporal Gyrus
21,LATERAL_FRONTO-ORBITAL_GYRUS,Lateral Fronto-orbital Gyrus
22,MIDDLE_FRONTO-ORBITAL_GYRUS,Middle Fronto-orbital Gyrus
23,SUPRAMARGINAL_GYRUS,Supramarginal Gyrus
24,GYRUS_RECTUS,Gyrus Rectus
25,INSULAR,Insular
26,AMYGDALA,Amygdala
27,HIPPOCAMPUS,Hippocampus
28,CEREBELLUM,Cerebellum
29,Corticospinal_tract_left,Left Corticospinal Tract
30,Inferior_cerebellar_peduncle_left,Left Inferior Cerebellar Peduncle
31,Medial_lemniscus_left,Left Medial Medial Lemniscus
32,Superior_cerebellar_peduncle_left,Left Superior Cerebellar Peduncle
33,Cerebral_peduncle_left,Left Cerebral Peduncle
34,Anterior_limb_of_internal_capsule_left,Left Anterior Limb of Internal Capsule
35,Posterior_limb_of_internal_capsule_left,Left Posterior Limb of Internal Capsule
36,Posterior_thalamic_radiation_left,Left Posterior Thalamic Radiation
37,Anterior_corona_radiata_left,Left Anterior Corona Radiata
38,Superior_corona_radiata_left,Left Superior Corona Radiata
39,Posterior_corona_radiata_left,Left Posterior Corona Radiata
40,Cingulum_(cingulate_gyrus)_left,Left Cingulum (Cingulate Gyrus)
41,Cingulum_(hippocampus)_left,Left Cingulum (Hippocampus)
42,Fornix(cres)_Stria_terminalis_left,Left Fornix(cres) Stria Terminalis
43,Superior_longitudinal_fasciculus_left,Left Superior Longitudinal Fasciculus
44,Superior_fronto-occipital_fasciculus_left,Left Superior Fronto-occipital Fasciculus
45,Inferior_fronto-occipital_fasciculus_left,Left Inferior Fronto-occipital Fasciculus
46,Sagittal_stratum_left,Left Sagittal Stratum
47,External_capsule_left,Left External Capsule
48,Uncinate_fasciculus_left,Left Uncinate Fasciculus
49,Pontine_crossing_tract_left,Left Pontine Crossing Tract
50,Middle_cerebellar_peduncle_left,Left Middle Cerebellar Peduncle
51,Fornix_(column_and_body)_left,Left Fornix (Column&Body)
52,Genu_of_corpus_callosum_left,Left Genu of Corpus Callosum
53,Body_of_corpus_callosum_left,Left Body of Corpus Callosum
54,Splenium_of_corpus_callosum_left,Left Splenium of Corpus Callosum
55,Retrolenticular_part_of_internal_capsule_left,Left Retrolenticular Part of Internal Capsule
56,Red_Nucleus_left,Left Red Nucleus
57,Substancia_Nigra_left,Left Substancia Nigra
58,Tapatum_left,Left Tapatum
59,CAUDATE_NUCLEUS_left,Left Caudate Nucleus
60,PUTAMEN_left,Left Putamen
61,THALAMUS_left,Left Thalamus
62,GLOBUS_PALLIDUS_left,Left Globus Pallidus
63,MIDBRAIN_left,Left Midbrain
64,PONS_left,Left Pons
65,MEDULLA_left,Left Medulla
66,SUPERIOR_PARIETAL_WM_left,Left Superior Parietal WM
67,Cingulum_WM_left,Left Cingulum
68,SUPERIOR_FRONTAL_WM_left,Left Superior Frontal WM
69,MIDDLE_FRONTAL_WM_left,Left Middle Frontal WM
70,INFERIOR_FRONTAL_WM_left,Left Inferior Frontal WM
71,PRECENTRAL_WM_left,Left Precentral WM
72,POSTCENTRAL_WM_left,Left Postcentral WM
73,ANGULAR_WM_left,Left Angular WM
74,PRE-CUNEUS_WM_left,Left Precuneus WM
75,CUNEUS_WM_left,Left Cuneus WM
76,LINGUAL_WM_left,Left Lingual WM
77,FUSIFORM_WM_left,Left Fusiform WM
78,SUPERIOR_OCCIPITAL_WM_left,Left Superior Occipital WM
79,INFERIOR_OCCIPITAL_WM_left,Left Inferior Occipital WM
80,MIDDLE_OCCIPITAL_WM_left,Left Middle Occipital WMW
81,SUPERIOR_TEMPORAL_WM_left,Left Superior Temporal WM
82,INFERIOR_TEMPORAL_WM_left,Left Inferior Temporal WM
83,MIDDLE_TEMPORAL_WM_left,Left Middle Temporal WM
84,LATERAL_FRONTO-ORBITAL_WM_left,Left Lateral Fronto-orbital WM
85,MIDDLE_FRONTO-ORBITAL_WM_left,Left Middle Fronto-orbital
86,SUPRAMARGINAL_WM_left,Left Supramarginal WM
87,RECTUS_WM_left,Left Rectus WM
88,CEREBELLUM_WM_left,Left Cerebellum WM
