id,ROI,ROI_rename
89,SUPERIOR_PARIETAL_LOBULE_right,Right Superior Parietal Lobule
90,CINGULATE_GYRUS_right,Right Cingulate Gyrus
91,SUPERIOR_FRONTAL_GYRUS_right,Right Superior Frontal Gyrus
92,MIDDLE_FRONTAL_GYRUS_right,Right Middle Frontal Gyrus
93,INFERIOR_FRONTAL_GYRUS_right,Right Inferior Frontal Gyrus
94,PRECENTRAL_GYRUS_right,Right Precentral Gyrus
95,POSTCENTRAL_GYRUS_right,Right Postcentral Gyrus
96,ANGULAR_GYRUS_right,Right Angular Gyrus
97,PRE-CUNEUS_right,Right Precuneus
98,CUNEUS_right,Right Cuneus
99,LINGUAL_GYRUS_right,Right Lingual Gyrus
100,FUSIFORM_GYRUS_right,Right Fusiform Gyrus
101,PARAHIPPOCAMPAL_GYRUS_right,Right Parahippocampal Gyrus
102,SUPERIOR_OCCIPITAL_GYRUS_right,Right Superior Occipital Gyrus
103,INFERIOR_OCCIPITAL_GYRUS_right,Right Inferior Occipital Gyrus
104,MIDDLE_OCCIPITAL_GYRUS_right,Right Middle Occipital Gyrus
105,ENTORHINAL_AREA_right,Right Entorhinal Area
106,SUPERIOR_TEMPORAL_GYRUS_right,Right Superior Temporal Gyrus
107,INFERIOR_TEMPORAL_GYRUS_right,Right Inferior Temporal Gyrus
108,MIDDLE_TEMPORAL_GYRUS_right,Right Middle Temporal Gyrus
109,LATERAL_FRONTO-ORBITAL_GYRUS_right,Right Lateral Fronto-orbital Gyrus
110,MIDDLE_FRONTO-ORBITAL_GYRUS_right,Right Middle Fronto-orbital Gyrus
111,SUPRAMARGINAL_GYRUS_right,Right Supramarginal Gyrus
112,GYRUS_RECTUS_right,Right Gyrus Rectus
113,INSULAR_right,Right Insular
114,AMYGDALA_right,Right Amygdala
115,HIPPOCAMPUS_right,Right Hippocampus
116,CEREBELLUM_right,Right Cerebellum
117,Corticospinal_tract_right,Right Corticospinal Tract
118,Inferior_cerebellar_peduncle_right,Right Inferior Cerebellar Peduncle
119,Medial_lemniscus_right,Right Medial Lemniscus
120,Superior_cerebellar_peduncle_right,Right Superior Cerebellar Peduncle
121,Cerebral_peduncle_right,Right Cerebral Peduncle
122,Anterior_limb_of_internal_capsule_right,Right Anterior Limb of Internal Capsule
123,Posterior_limb_of_internal_capsule_right,Right Posterior Limb of Internal Capsule
124,Posterior_thalamic_radiation_right,Right Posterior Thalamic Radiation
125,Anterior_corona_radiata_right,Right Anterior Corona Radiata
126,Superior_corona_radiata_right,Right Superior Corona Radiata
127,Posterior_corona_radiata_right,Right Posterior Corona Radiata
128,Cingulum_(cingulate_gyrus)_right,Right Cingulum (Cingulate Gyrus)
129,Cingulum_(hippocampus)_right,Right Cingulum (Hippocampus)
130,Fornix(cres)_Stria_terminalis_right,Right Fornix(cres) Stria Terminalis
131,Superior_longitudinal_fasciculus_right,Right Superior Longitudinal Fasciculus
132,Superior_fronto-occipital_fasciculus_right,Right Superior Fronto-occipital Fasciculus
133,Inferior_fronto-occipital_fasciculus_right,Right Inferior Fronto-occipital Fasciculus
134,Sagittal_stratum_right,Right Sagittal Stratum
135,External_capsule_right,Right External Capsule
136,Uncinate_fasciculus_right,Right Uncinate Fasciculus
137,Pontine_crossing_tract_right,Right Pontine Crossing Tract
138,Middle_cerebellar_peduncle_right,Right Middle Cerebellar Peduncle
139,Fornix_right,Right Fornix
140,Genu_of_corpus_callosum_right,Right Genu of Corpus Callosum
141,Body_of_corpus_callosum_right,Right Body of Corpus Callosum
142,Splenium_of_corpus_callosum_right,Right Splenium of Corpus Callosum
143,Retrolenticular_part_of_internal_capsule_right,Right Retrolenticular Part of Internal Capsule
144,Red_Nucleus_right,Right Red Nucleus
145,Substancia_Nigra_right,Right Substancia Nigra
146,Tapatum_right,Right Tapatum
147,CAUDATE_NUCLEUS_right,Right Caudate Nucleus
148,PUTAMEN_right,Right Putamen
149,THALAMUS_right,Right Thalamus
150,GLOBUS_PALLIDUS_right,Right Globus Pallidus
151,MIDBRAIN_right,Right Midbrain
152,PONS_right,Right Pons
153,MEDULLA_right,Right Medulla
154,SUPERIOR_PARIETAL_WM_right,Right Superior Parietal WM
155,Cingulum_WM_right,Right Cingulum WM
156,SUPERIOR_FRONTAL_WM_right,Right Superior Frontal WM
157,MIDDLE_FRONTAL_WM_right,Right Middle Frontal WM
158,INFERIOR_FRONTAL_WM_right,Right Inferior Frontal WM
159,PRECENTRAL_WM_right,Right Precentral WM
160,POSTCENTRAL_WM_right,Right Postcentral WM
161,ANGULAR_WM_right,Right Angular WM
162,PRE-CUNEUS_WM_right,Right Precuneus WM
163,CUNEUS_WM_right,Right Cuneus WM
164,LINGUAL_WM_right,Right Lingual WM
165,FUSIFORM_WM_right,Right Fusiform WM
166,SUPERIOR_OCCIPITAL_WM_right,Right Superior Occipital WM
167,INFERIOR_OCCIPITAL_WM_right,Right Inferior Occipital WM
168,MIDDLE_OCCIPITAL_WM_right,Right Middle Occipital WM
169,SUPERIOR_TEMPORAL_WM_right,Right Superior Temporal WM
170,INFERIOR_TEMPORAL_WM_right,Right Inferior Temporal WM
171,MIDDLE_TEMPORAL_WM_right,Right Middle Temporal WM
172,LATERAL_FRONTO-ORBITAL_WM_right,Right Lateral Fronto-orbital WM
173,MIDDLE_FRONTO-ORBITAL_WM_right,Right Middle Fronto-orbital WM
174,SUPRAMARGINAL_WM_right,Right Supramarginal WM
175,RECTUS_WM_right,Right Rectus WM
176,CEREBELLUM_WM_right,Right Cerebellum WM
