id,ROI,ROI_rename,ROI_abbr
1,SUPERIOR_PARIETAL_LOBULE_left,Left Superior Parietal Lobule,L. Sup. Parietal Lobule
2,CINGULATE_GYRUS_left,Left Cingulate Gyrus,L. Cingulate Gyrus
3,SUPERIOR_FRONTAL_GYRUS_left,Left Superior Frontal Gyrus,L. Sup. Front. Gyrus
4,MIDDLE_FRONTAL_GYRUS_left,Left Middle Frontal Gyrus,L. Mid. Front. Gyrus
5,INFERIOR_FRONTAL_GYRUS_left,Left Inferior Frontal Gyrus,L. IFG
6,PRECENTRAL_GYRUS_left,Left Precentral Gyrus,L. Precentral Gyrus
7,POSTCENTRAL_GYRUS_left,Left Postcentral Gyrus,L. Postcent. Gyrus
8,ANGULAR_GYRUS_left,Left Angular Gyrus,L. Angular Gyrus
9,PRE-CUNEUS_left,Left Precuneus,L. Precuneus
10,CUNEUS_left,Left Cuneus,L. Cuneus
11,LINGUAL_GYRUS_left,Left Lingual Gyrus,L. Lingual Gyrus
12,FUSIFORM_GYRUS_left,Left Fusiform Gyrus,L. Fusiform Gyrus
13,PARAHIPPOCAMPAL_GYRUS_left,Left Parahippocampal Gyrus,L. Parahippocampal Gyrus
14,SUPERIOR_OCCIPITAL_GYRUS_left,Left Superior Occipital Gyrus,L. Sup. Occipital Gyrus
15,INFERIOR_OCCIPITAL_GYRUS,Left Inferior Occipital Gyrus,L. Inf. Occipital Gyrus
16,MIDDLE_OCCIPITAL_GYRUS,Left Middle Occipital Gyrus,L. Mid. Occipital Gyrus
17,ENTORHINAL_AREA,Left Entorhinal Area,L. Entorhinal Area
18,SUPERIOR_TEMPORAL_GYRUS,Left Superior Temporal Gyrus,L. Sup. Temp. Gyrus
19,INFERIOR_TEMPORAL_GYRUS,Left Inferior Temporal Gyrus,L. Inf. Temp. Gyrus
20,MIDDLE_TEMPORAL_GYRUS,Left Middle Temporal Gyrus,L. Mid. Temp. Gyrus
21,LATERAL_FRONTO-ORBITAL_GYRUS,Left Lateral Fronto-orbital Gyrus,L. Lat. Forb. Gyrus
22,MIDDLE_FRONTO-ORBITAL_GYRUS,Left Middle Fronto-orbital Gyrus,L. Mid. Forb. Gyrus
23,SUPRAMARGINAL_GYRUS,Left Supramarginal Gyrus,L. Supramarginal Gyrus
24,GYRUS_RECTUS,Left Gyrus Rectus,L. Gyrus Rectus
25,INSULAR,Left Insular,L. Insular
26,AMYGDALA,Left Amygdala,L. Amygdala
27,HIPPOCAMPUS,Left Hippocampus,L. Hippocampus
28,CEREBELLUM,Left Cerebellum,L. Cerebellum
29,Corticospinal_tract_left,Left Corticospinal Tract,L. Corticospinal Tract
30,Inferior_cerebellar_peduncle_left,Left Inferior Cerebellar Peduncle,L. Inf. Cerebellar Peduncle
31,Medial_lemniscus_left,Left Medial Medial Lemniscus,L. Med. Med. Lemniscus
32,Superior_cerebellar_peduncle_left,Left Superior Cerebellar Peduncle,L. Sup. Cerebellar Peduncle
33,Cerebral_peduncle_left,Left Cerebral Peduncle,L. Cerebral Peduncle
34,Anterior_limb_of_internal_capsule_left,Left Anterior Limb of Internal Capsule,L. Ant. Limb  Int. Capsule
35,Posterior_limb_of_internal_capsule_left,Left Posterior Limb of Internal Capsule,L. Post. Limb  Int. Capsule
36,Posterior_thalamic_radiation_left,Left Posterior Thalamic Radiation,L. Post. Thalamic Radiation
37,Anterior_corona_radiata_left,Left Anterior Corona Radiata,L. Ant. Corona Radiata
38,Superior_corona_radiata_left,Left Superior Corona Radiata,L. Sup. Corona Radiata
39,Posterior_corona_radiata_left,Left Posterior Corona Radiata,L. Post. Corona Radiata
40,Cingulum_(cingulate_gyrus)_left,Left Cingulum (Cingulate Gyrus),L. Cing. (Cingulate Gyrus)
41,Cingulum_(hippocampus)_left,Left Cingulum (Hippocampus),L. Cing. (Hippocampus)
42,Fornix(cres)_Stria_terminalis_left,Left Fornix(cres) Stria Terminalis,L. Fornix(cres) ST
43,Superior_longitudinal_fasciculus_left,Left Superior Longitudinal Fasciculus,L. Sup. Long. Fasciculus
44,Superior_fronto-occipital_fasciculus_left,Left Superior Fronto-occipital Fasciculus,L. Sup. Focc. Fasciculus
45,Inferior_fronto-occipital_fasciculus_left,Left Inferior Fronto-occipital Fasciculus,L. Inf. Focc. Fasciculus
46,Sagittal_stratum_left,Left Sagittal Stratum,L. Sagittal Stratum
47,External_capsule_left,Left External Capsule,L. External Capsule
48,Uncinate_fasciculus_left,Left Uncinate Fasciculus,L. Uncinate Fasciculus
49,Pontine_crossing_tract_left,Left Pontine Crossing Tract,L. Pontine Crossing Tract
50,Middle_cerebellar_peduncle_left,Left Middle Cerebellar Peduncle,L. Mid. Cerebellar Peduncle
51,Fornix_(column_and_body)_left,Left Fornix (Column&Body),L. Fornix (Column&Body)
52,Genu_of_corpus_callosum_left,Left Genu of Corpus Callosum,L. Genu  CC
53,Body_of_corpus_callosum_left,Left Body of Corpus Callosum,L. Body  CC
54,Splenium_of_corpus_callosum_left,Left Splenium of Corpus Callosum,L. Splenium  CC
55,Retrolenticular_part_of_internal_capsule_left,Left Retrolenticular Part of Internal Capsule,L. Rl. Pt.  Int. Capsule
56,Red_Nucleus_left,Left Red Nucleus,L. Red Nucleus
57,Substancia_Nigra_left,Left Substancia Nigra,L. Substancia Nigra
58,Tapatum_left,Left Tapatum,L. Tapatum
59,CAUDATE_NUCLEUS_left,Left Caudate Nucleus,L. Caudate Nucleus
60,PUTAMEN_left,Left Putamen,L. Putamen
61,THALAMUS_left,Left Thalamus,L. Thalamus
62,GLOBUS_PALLIDUS_left,Left Globus Pallidus,L. Globus Pallidus
63,MIDBRAIN_left,Left Midbrain,L. Midbrain
64,PONS_left,Left Pons,L. Pons
65,MEDULLA_left,Left Medulla,L. Medulla
66,SUPERIOR_PARIETAL_WM_left,Left Superior Parietal WM,L. Sup. Parietal WM
67,Cingulum_WM_left,Left Cingulum,L. Cing.
68,SUPERIOR_FRONTAL_WM_left,Left Superior Frontal WM,L. Sup. Front. WM
69,MIDDLE_FRONTAL_WM_left,Left Middle Frontal WM,L. Mid. Front. WM
70,INFERIOR_FRONTAL_WM_left,Left Inferior Frontal WM,L. Inf. Front. WM
71,PRECENTRAL_WM_left,Left Precentral WM,L. Precentral WM
72,POSTCENTRAL_WM_left,Left Postcentral WM,L. Postcent. WM
73,ANGULAR_WM_left,Left Angular WM,L. Angular WM
74,PRE-CUNEUS_WM_left,Left Precuneus WM,L. Precuneus WM
