id,ROI,ROI_rename,ROI_abbr
104,Posterior_corona_radiata_right,Right Posterior Corona Radiata,R. Post. Corona Radiata
105,Cingulum_(cingulate_gyrus)_right,Right Cingulum (Cingulate Gyrus),R. Cing. (Cingulate Gyrus)
106,Cingulum_(hippocampus)_right,Right Cingulum (Hippocampus),R. Cing. (Hippocampus)
107,Fornix(cres)_Stria_terminalis_right,Right Fornix(cres) Stria Terminalis,R. Fornix(cres) ST
108,Superior_longitudinal_fasciculus_right,Right Superior Longitudinal Fasciculus,R. Sup. Long. Fasciculus
109,Superior_fronto-occipital_fasciculus_right,Right Superior Fronto-occipital Fasciculus,R. Sup. Focc. Fasciculus
110,Inferior_fronto-occipital_fasciculus_right,Right Inferior Fronto-occipital Fasciculus,R. Inf. Focc. Fasciculus
111,Sagittal_stratum_right,Right Sagittal Stratum,R. Sagittal Stratum
112,External_capsule_right,Right External Capsule,R. External Capsule
113,Uncinate_fasciculus_right,Right Uncinate Fasciculus,R. Uncinate Fasciculus
114,Pontine_crossing_tract_right,Right Pontine Crossing Tract,R. Pontine Crossing Tract
115,Middle_cerebellar_peduncle_right,Right Middle Cerebellar Peduncle,R. Mid. Cerebellar Peduncle
116,Fornix_(column_and_body)_right,Right Fornix (Column&Body),R. Fornix (Column&Body)
117,Genu_of_corpus_callosum_right,Right Genu of Corpus Callosum,R. Genu  CC
118,Body_of_corpus_callosum_right,Right Body of Corpus Callosum,R. Body  CC
119,Splenium_of_corpus_callosum_right,Right Splenium of Corpus Callosum,R. Splenium  CC
120,Retrolenticular_part_of_internal_capsule_right,Right Retrolenticular Part of Internal Capsule,R. Rl. Pt.  Int. Capsule
121,Red_Nucleus_right,Right Red Nucleus,R. Red Nucleus
122,Substancia_Nigra_right,Right Substancia Nigra,R. Substancia Nigra
123,Tapatum_right,Right Tapatum,R. Tapatum
124,CAUDATE_NUCLEUS_right,Right Caudate Nucleus,R. Caudate Nucleus
125,PUTAMEN_right,Right Putamen,R. Putamen
126,THALAMUS_right,Right Thalamus,R. Thalamus
127,GLOBUS_PALLIDUS_right,Right Globus Pallidus,R. Globus Pallidus
128,MIDBRAIN_right,Right Midbrain,R. Midbrain
129,PONS_right,Right Pons,R. Pons
130,MEDULLA_right,Right Medulla,R. Medulla
