id,ROI,ROI_rename,ROI_abbr
1,SUPERIOR_PARIETAL__WM_left,Left Superior Parietal WM,L. Sup. Parietal WM
2,CAUDATE_NUCLEUS_left,Left Caudate Nucleus,L. Caudate Nucleus
3,SUPERIOR_FRONTAL_WM_left,Left Superior Frontal WM,L. Sup. Front. WM
4,MIDDLE_FRONTAL__WM_left,Left Middle Frontal WM,L. Mid. Front. WM
5,INFERIOR_FRONTAL__WM_left,Left Inferior Frontal WM,L. Inf. Front. WM
6,PRECENTRAL__WM_left,Left Precentral WM,L. Precentral WM
7,POSTCENTRAL__WM_left,Left Postcentral WM,L. Postcent. WM
8,ANGULAR__WM_left,Left Angular WM,L. Angular WM
9,PRE-CUNEUS__WM_left,Left Precuneus WM,L. Precuneus WM
10,CUNEUS_WM_left,Left Cuneus WM,L. Cuneus WM
11,LINGUAL_WM_left,Left Lingual WM,L. Lingual WM
12,FUSIFORM_WM_left,Left Fusiform WM,L. Fusiform WM
13,CAUDATE_NUCLEUS_right,Right Caudate Nucleus,R. Caudate Nucleus
14,SUPERIOR_OCCIPITAL_WM_left,Left Superior Occipital WM,L. Sup. Occipital WM
15,INFERIOR_OCCIPITAL_WM_left,Left Inferior Occipital WM,L. Inf. Occipital WM
16,MIDDLE_OCCIPITAL_WM_left,Left Middle Occipital WMW,L. Mid. Occipital WMW
17,ENTORHINAL_AREA_left,Left Entorhinal Area,L. Entorhinal Area
18,SUPERIOR_TEMPORAL__WM_left,Left Superior Temporal WM,L. Sup. Temp. WM
19,INFERIOR_TEMPORAL__WM_left,Left Inferior Temporal WM,L. Inf. Temp. WM
20,MIDDLE_TEMPORAL__WM_left,Left Middle Temporal WM,L. Mid. Temp. WM
21,LATERAL_FRONTO-ORBITAL__WM_left,Left Lateral Fronto-orbital WM,L. Lat. Forb. WM
22,MIDDLE_FRONTO-ORBITAL__WM_left,Left Middle Fronto-orbital WM,L. Mid. Forb. WM
23,SUPRAMARGINAL__WM_left,Left Supramarginal WM,L. Supramarginal WM
24,RECTUS__WM_left,Left Rectus WM,L. Rectus WM
25,AMYGDALA,Left Amygdala,L. Amygdala
26,HIPPOCAMPUS,Left Hippocampus,L. Hippocampus
27,PUTAMEN_left,Left Putamen,L. Putamen
28,Corticospinal_tract_left,Left Corticospinal Tract,L. Corticospinal Tract
29,Inferior_cerebellar_peduncle_left,Left Inferior Cerebellar Peduncle,L. Inf. Cerebellar Peduncle
30,Medial_lemniscus_left,Left Medial Medial Lemniscus,L. Med. Med. Lemniscus
